date,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,cost,conversions,conversion_value,ctr,avg_cpc,quality_score,search_impression_share
2024-01-01,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23456,1234,234.50,45,2250.00,0.0526,0.19,9,0.92
2024-01-01,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,45678,890,567.80,23,1150.00,0.0195,0.64,7,0.45
2024-01-01,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,67890,2345,423.60,67,3350.00,0.0345,0.18,8,0.67
2024-01-02,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,24567,1289,245.60,48,2400.00,0.0525,0.19,9,0.91
2024-01-02,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,43234,823,534.20,21,1050.00,0.0190,0.65,7,0.44
2024-01-02,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,71234,2456,445.80,71,3550.00,0.0345,0.18,8,0.68
2024-01-03,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,22345,1123,213.40,42,2100.00,0.0503,0.19,9,0.93
2024-01-03,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,47890,967,623.50,25,1250.00,0.0202,0.64,6,0.43
2024-01-03,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,123456,456,123.40,12,600.00,0.0037,0.27,7,0.35
2024-01-04,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25678,1345,256.70,50,2500.00,0.0524,0.19,9,0.92
2024-01-04,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,69456,2234,412.30,65,3250.00,0.0322,0.18,8,0.66
2024-01-04,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,134567,489,134.50,14,700.00,0.0036,0.28,7,0.36
2024-01-05,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23890,1234,234.90,46,2300.00,0.0517,0.19,9,0.91
2024-01-05,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,46234,912,589.30,24,1200.00,0.0197,0.65,7,0.45
2024-01-05,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,128901,467,128.90,13,650.00,0.0036,0.28,7,0.34
2024-01-06,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,24234,1267,241.20,47,2350.00,0.0523,0.19,9,0.92
2024-01-06,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,72345,2378,432.90,69,3450.00,0.0329,0.18,8,0.67
2024-01-06,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,131234,478,132.40,13,650.00,0.0036,0.28,7,0.35
2024-01-07,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,26789,1456,278.90,54,2700.00,0.0544,0.19,9,0.93
2024-01-07,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,44567,878,567.20,22,1100.00,0.0197,0.65,6,0.44
2024-01-07,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,70234,2289,419.50,66,3300.00,0.0326,0.18,8,0.66
2024-01-08,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,22567,1134,216.80,43,2150.00,0.0503,0.19,9,0.91
2024-01-08,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,48234,989,634.70,26,1300.00,0.0205,0.64,7,0.46
