date,campaign_id,campaign_name,adgroup_id,adgroup_name,impressions,clicks,cost,conversions,video_views,video_watch_25,video_watch_50,video_watch_75,video_watch_100,likes,shares,comments
2024-01-01,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,234567,3456,456.70,34,198234,156234,98234,67234,45234,8923,2345,567
2024-01-01,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,123456,2345,678.90,67,89234,67234,45234,34234,23456,4567,1234,234
2024-01-01,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,189234,2890,345.60,23,145678,112345,89234,56789,34567,6789,1890,456
2024-01-02,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,245678,3678,478.90,36,207345,163456,102345,70234,47234,9234,2456,589
2024-01-02,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,134567,2567,712.30,71,95678,71234,48234,36234,24567,4789,1345,245
2024-01-02,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,198345,3012,361.20,25,152345,117234,93234,59234,36234,7123,1967,478
2024-01-03,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,223456,3234,434.50,32,189234,148234,93234,63456,43234,8567,2234,534
2024-01-03,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,112345,2123,623.40,62,82345,61234,41234,31234,21234,4234,1123,212
2024-01-03,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,345678,5678,890.10,89,289234,234567,189234,134567,89234,15678,4567,1234
2024-01-04,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,256789,3890,512.30,39,217456,170234,107234,72456,48456,9567,2567,612
2024-01-04,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,201234,3123,374.50,26,157890,121234,96234,61234,37456,7345,2034,489
2024-01-04,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,367890,6012,923.40,94,301234,245678,196789,140234,93456,16234,4789,1289
2024-01-05,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,234234,3467,460.20,35,199234,156789,98789,67789,45456,8945,2367,578
2024-01-05,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,128901,2456,689.50,68,91234,68234,45789,34567,23678,4678,1267,237
2024-01-05,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,356789,5834,901.20,91,293456,239234,191234,136234,90234,15890,4634,1256
2024-01-06,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,267890,3945,523.40,40,221234,173456,109234,73567,49234,9789,2634,623
2024-01-06,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,205678,3234,387.80,27,162345,124567,98901,63234,38234,7567,2089,501
2024-01-06,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,378901,6123,945.60,96,312345,251234,201234,143456,95234,16567,4823,1312
2024-01-07,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,278901,4123,545.60,42,229234,179234,112234,75678,50234,10123,2712,645
2024-01-07,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,138901,2678,734.50,73,97890,72345,48901,36789,24890,4901,1356,256
2024-01-07,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,212345,3345,401.10,28,167890,128234,101234,65234,39456,7789,2145,512
2024-01-08,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,245234,3578,474.30,37,203456,158901,99567,68234,45789,8978,2389,590
2024-01-08,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,119234,2234,645.60,64,85678,63456,42345,32234,22234,4345,1189,223
2024-01-08,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,389012,6234,967.80,98,321234,258901,207890,147234,97456,16901,4912,1345
2024-01-09,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,289012,4234,556.70,43,234567,182345,114567,77234,51234,10345,2789,656
2024-01-09,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,218901,3456,414.40,29,173456,131567,103567,67234,40567,8012,2201,523
2024-01-09,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,401234,6456,989.90,101,332345,267890,214567,151234,99567,17234,5012,1378
2024-01-10,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,256234,3701,490.50,38,209234,163567,102567,69567,46567,9123,2423,601
2024-01-10,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,145678,2789,756.70,76,101234,74567,50234,37890,25234,5012,1423,267
2024-01-10,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,223456,3567,427.70,30,178901,135234,106789,69234,41789,8234,2267,534
2024-01-11,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,278901,4123,523.60,42,234567,182345,114567,77234,51234,10345,2789,656
2024-01-11,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,156789,3012,812.30,82,109876,81234,54678,41234,27567,5456,1567,289
2024-01-11,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,234567,3789,456.80,33,189234,143567,113456,73456,44567,8789,2434,567
2024-01-11,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,412345,6789,1023.40,103,345678,278901,223456,159234,105678,18234,5234,1456
2024-01-12,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,267890,3945,501.20,40,221234,173456,109234,73567,49234,9789,2634,623
2024-01-12,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,148901,2834,767.50,77,103456,76234,51234,38567,25789,5123,1456,278
2024-01-12,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,228901,3634,441.90,31,182345,137890,108901,70567,42789,8456,2301,545
2024-01-12,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,398567,6534,998.70,98,332345,267890,214567,151234,99567,17756,5012,1389
2024-01-13,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,234567,3456,456.70,34,198234,156234,98234,67234,45234,8923,2345,567
2024-01-13,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,134567,2567,712.30,71,95678,71234,48234,36234,24567,4789,1345,245
2024-01-13,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,201234,3123,374.50,26,157890,121234,96234,61234,37456,7345,2034,489
2024-01-13,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,367890,6012,923.40,94,301234,245678,196789,140234,93456,16234,4789,1289
2024-01-14,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,223456,3234,434.50,32,189234,148234,93234,63456,43234,8567,2234,534
2024-01-14,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,128901,2456,689.50,68,91234,68234,45789,34567,23678,4678,1267,237
2024-01-14,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,195678,2989,361.20,25,152345,117234,93234,59234,36234,7123,1967,478
2024-01-14,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,356789,5834,901.20,91,293456,239234,191234,136234,90234,15890,4634,1256
2024-01-15,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,246789,3678,478.90,36,207345,163456,102345,70234,47234,9234,2456,589
2024-01-15,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,142345,2678,734.50,73,97890,72345,48901,36789,24890,4901,1356,256
2024-01-15,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,212345,3345,401.10,28,167890,128234,101234,65234,39456,7789,2145,512
2024-01-15,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,378901,6123,945.60,96,312345,251234,201234,143456,95234,16567,4823,1312
2024-01-16,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,289012,4234,556.70,43,234567,182345,114567,77234,51234,10345,2789,656
2024-01-16,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,156789,3012,812.30,82,109876,81234,54678,41234,27567,5456,1567,289
2024-01-16,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,245678,3890,467.80,34,195678,148234,117234,75234,45789,8567,2345,567
2024-01-16,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,423456,6890,1056.80,107,356789,289234,231456,164567,109234,18890,5456,1489
2024-01-17,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,301234,4456,589.90,46,245678,191234,119234,80234,53456,10789,2901,689
2024-01-17,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,167890,3234,845.60,85,117890,87234,58901,44234,29567,5678,1634,312
2024-01-17,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,256789,4012,489.20,36,201234,152345,120456,77890,47234,8901,2456,589
2024-01-17,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,445678,7234,1123.50,113,378901,304567,243456,172345,114567,19567,5678,1567
2024-01-18,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,290123,4189,567.80,44,236789,184567,115678,78234,52345,10456,2812,678
2024-01-18,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,161234,3089,823.70,83,113456,83567,56234,42345,28234,5523,1589,301
